status,compiled_circuit_scope,qpe_scaling_model,molecule,num_logical_qubits,num_system_qubits,num_control_qubits,pf_label,step_time,base_step_time,effective_evolution_time,qpe_power_k,time_multiplier,qasm_hash,optimized_ir_hash,rotation_precision,step_rz_count,step_rz_layer,step_rz_depth,step_magic_state_count,step_magic_state_depth,pf_error_coefficient,pf_order,qpe_target_error,qpe_effective_block_count,qpe_action_count,case_name,topology_name,topology_path,topology_hash,mapping_result_json,mapping_result_hash,mapping_result_unavailable_reason,machine_type,magic_generation_period,resolved_maximum_magic_state_stock,stock_policy,entanglement_generation_period,maximum_entangled_state_stock,reaction_time,compile_mode,compiler_executable_path,compiler_executable_hash,cache_key,compile_cache_hit,runtime_without_topology,runtime_without_topology_unavailable_reason,runtime_with_topology,runtime_with_topology_unavailable_reason,runtime_difference_vs_topology_free,runtime_difference_vs_topology_free_unavailable_reason,chip_cells,chip_cells_unavailable_reason,qubit_volume,qubit_volume_unavailable_reason,physical_qubits,physical_qubits_unavailable_reason,code_distance,code_distance_unavailable_reason,failure_probability,failure_probability_unavailable_reason,compile_elapsed_time,compile_elapsed_time_unavailable_reason,peak_process_memory,peak_process_memory_unavailable_reason,total_magic_state_count,total_magic_state_depth,total_runtime_without_topology,total_runtime_without_topology_unavailable_reason,total_runtime_with_topology,total_runtime_with_topology_unavailable_reason,total_runtime_difference_vs_topology_free,total_runtime_difference_vs_topology_free_unavailable_reason,total_qubit_volume,total_qubit_volume_unavailable_reason,error_type,error_message
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H2,5,4,1,2nd,0.3774377437855251,0.3774377437855251,0.3774377437855251,0,1,0d3270f0ec165b55c464ef85b23e5e7e19d2ff19be167c4594f5eba2ff2db61b,c1df5b0ff011847b133a8c8749fc4014203c9d03e79bee7dfeb53078fb244dc9,1e-05,195,9,85,2404,1908,0.0033559072446398956,2.0,0.00015936001019904,89777.82576841394,89778,normal_p15_center,factory_center_block,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/tutorial_factory_center_block.yaml,56d65fdff20bf18821c6b07e16fc8c1dcf7cb687b5868a60cc4cf1d178478bcc,,,disabled,Dim2,15,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,52289078251cabbb,True,9168,,9169,,1,,96,,64813,,15552,,9,,,missing_in_compile_info,6.365729495882988e-05,,,not_collected,215826312,171296424,823084704,,823174482,,89778,,5818781514,,,
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H2,5,4,1,2nd,0.3774377437855251,0.3774377437855251,0.3774377437855251,0,1,0d3270f0ec165b55c464ef85b23e5e7e19d2ff19be167c4594f5eba2ff2db61b,c1df5b0ff011847b133a8c8749fc4014203c9d03e79bee7dfeb53078fb244dc9,1e-05,195,9,85,2404,1908,0.0033559072446398956,2.0,0.00015936001019904,89777.82576841394,89778,fast_p8_center,factory_center_block,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/tutorial_factory_center_block.yaml,56d65fdff20bf18821c6b07e16fc8c1dcf7cb687b5868a60cc4cf1d178478bcc,,,disabled,Dim2,8,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,4c619a415d5b8d26,True,8422,,8234,,-188,,96,,58735,,15552,,9,,,missing_in_compile_info,0.00010777823626995087,,,not_collected,215826312,171296424,756110316,,739232052,,-16878264,,5273110830,,,
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H2,5,4,1,2nd,0.3774377437855251,0.3774377437855251,0.3774377437855251,0,1,0d3270f0ec165b55c464ef85b23e5e7e19d2ff19be167c4594f5eba2ff2db61b,c1df5b0ff011847b133a8c8749fc4014203c9d03e79bee7dfeb53078fb244dc9,1e-05,195,9,85,2404,1908,0.0033559072446398956,2.0,0.00015936001019904,89777.82576841394,89778,cheap_p4_center,factory_center_block,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/tutorial_factory_center_block.yaml,56d65fdff20bf18821c6b07e16fc8c1dcf7cb687b5868a60cc4cf1d178478bcc,,,disabled,Dim2,4,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,13f98b0c11e8d95a,False,8234,,8230,,-4,,96,,57525,,15552,,9,,,missing_in_compile_info,0.0626213289797306,,,not_collected,215826312,171296424,739232052,,738872940,,-359112,,5164479450,,,
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H2,5,4,1,2nd,0.3774377437855251,0.3774377437855251,0.3774377437855251,0,1,0d3270f0ec165b55c464ef85b23e5e7e19d2ff19be167c4594f5eba2ff2db61b,c1df5b0ff011847b133a8c8749fc4014203c9d03e79bee7dfeb53078fb244dc9,1e-05,195,9,85,2404,1908,0.0033559072446398956,2.0,0.00015936001019904,89777.82576841394,89778,cheap_p2_center,factory_center_block,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/tutorial_factory_center_block.yaml,56d65fdff20bf18821c6b07e16fc8c1dcf7cb687b5868a60cc4cf1d178478bcc,,,disabled,Dim2,2,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,3d66e763eff33ccd,False,8227,,8228,,1,,96,,57362,,15552,,9,,,missing_in_compile_info,0.06114891404286027,,,not_collected,215826312,171296424,738603606,,738693384,,89778,,5149845636,,,
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H2,5,4,1,2nd,0.3774377437855251,0.3774377437855251,0.3774377437855251,0,1,0d3270f0ec165b55c464ef85b23e5e7e19d2ff19be167c4594f5eba2ff2db61b,c1df5b0ff011847b133a8c8749fc4014203c9d03e79bee7dfeb53078fb244dc9,1e-05,195,9,85,2404,1908,0.0033559072446398956,2.0,0.00015936001019904,89777.82576841394,89778,cheap_p1_center,factory_center_block,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/tutorial_factory_center_block.yaml,56d65fdff20bf18821c6b07e16fc8c1dcf7cb687b5868a60cc4cf1d178478bcc,,,disabled,Dim2,1,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,e5fefe90f8bd79e5,False,8226,,8227,,1,,96,,57361,,15552,,9,,,missing_in_compile_info,0.0630459007807076,,,not_collected,215826312,171296424,738513828,,738603606,,89778,,5149755858,,,
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H2,5,4,1,2nd,0.3774377437855251,0.3774377437855251,0.3774377437855251,0,1,0d3270f0ec165b55c464ef85b23e5e7e19d2ff19be167c4594f5eba2ff2db61b,c1df5b0ff011847b133a8c8749fc4014203c9d03e79bee7dfeb53078fb244dc9,1e-05,195,9,85,2404,1908,0.0033559072446398956,2.0,0.00015936001019904,89777.82576841394,89778,cheap_p1_large_stock_center,factory_center_block,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/tutorial_factory_center_block.yaml,56d65fdff20bf18821c6b07e16fc8c1dcf7cb687b5868a60cc4cf1d178478bcc,,,disabled,Dim2,1,1000000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,10b8bbf9bce858de,False,8226,,8227,,1,,96,,57361,,15552,,9,,,missing_in_compile_info,0.06342246010899544,,,not_collected,215826312,171296424,738513828,,738603606,,89778,,5149755858,,,
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H2,5,4,1,4th(new_2),2.8382192690687953,2.8382192690687953,2.8382192690687953,0,1,67581a3a9e597bc3a9f9f07044ca131b4e1412c18b0df36170463392be228d46,9ddc4d8452a4708259506a8d88fc66aad2f1cf88d5ace36bed7a1852707683bd,1e-05,883,29,353,8082,6566,1.2279072860922254e-05,4.0,0.00015936001019904,7415.679781259112,7416,normal_p15_center,factory_center_block,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/tutorial_factory_center_block.yaml,56d65fdff20bf18821c6b07e16fc8c1dcf7cb687b5868a60cc4cf1d178478bcc,,,disabled,Dim2,15,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,1c94ed50014061fb,True,30499,,30500,,1,,96,,228773,,23232,,11,,,missing_in_compile_info,6.16367906332016e-05,,,not_collected,59936112,48693456,226180584,,226188000,,7416,,1696580568,,,
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H2,5,4,1,4th(new_2),2.8382192690687953,2.8382192690687953,2.8382192690687953,0,1,67581a3a9e597bc3a9f9f07044ca131b4e1412c18b0df36170463392be228d46,9ddc4d8452a4708259506a8d88fc66aad2f1cf88d5ace36bed7a1852707683bd,1e-05,883,29,353,8082,6566,1.2279072860922254e-05,4.0,0.00015936001019904,7415.679781259112,7416,fast_p8_center,factory_center_block,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/tutorial_factory_center_block.yaml,56d65fdff20bf18821c6b07e16fc8c1dcf7cb687b5868a60cc4cf1d178478bcc,,,disabled,Dim2,8,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,1fd43a12f6349ae5,True,28716,,28524,,-192,,96,,212244,,23232,,11,,,missing_in_compile_info,0.00011244183406233788,,,not_collected,59936112,48693456,212957856,,211533984,,-1423872,,1574001504,,,
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H2,5,4,1,4th(new_2),2.8382192690687953,2.8382192690687953,2.8382192690687953,0,1,67581a3a9e597bc3a9f9f07044ca131b4e1412c18b0df36170463392be228d46,9ddc4d8452a4708259506a8d88fc66aad2f1cf88d5ace36bed7a1852707683bd,1e-05,883,29,353,8082,6566,1.2279072860922254e-05,4.0,0.00015936001019904,7415.679781259112,7416,cheap_p4_center,factory_center_block,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/tutorial_factory_center_block.yaml,56d65fdff20bf18821c6b07e16fc8c1dcf7cb687b5868a60cc4cf1d178478bcc,,,disabled,Dim2,4,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,662393125f570ec2,False,28521,,28520,,-1,,96,,208444,,23232,,11,,,missing_in_compile_info,0.1919549461454153,,,not_collected,59936112,48693456,211511736,,211504320,,-7416,,1545820704,,,
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H2,5,4,1,4th(new_2),2.8382192690687953,2.8382192690687953,2.8382192690687953,0,1,67581a3a9e597bc3a9f9f07044ca131b4e1412c18b0df36170463392be228d46,9ddc4d8452a4708259506a8d88fc66aad2f1cf88d5ace36bed7a1852707683bd,1e-05,883,29,353,8082,6566,1.2279072860922254e-05,4.0,0.00015936001019904,7415.679781259112,7416,cheap_p2_center,factory_center_block,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/tutorial_factory_center_block.yaml,56d65fdff20bf18821c6b07e16fc8c1dcf7cb687b5868a60cc4cf1d178478bcc,,,disabled,Dim2,2,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,bdd56db449de5ec4,False,28517,,28518,,1,,96,,208140,,23232,,11,,,missing_in_compile_info,0.19448407320305705,,,not_collected,59936112,48693456,211482072,,211489488,,7416,,1543566240,,,
